fecha,departamento,producto,id_producto,precio,unidad,cantidad
2024-12-17,Cochabamba,aceite de girasol,8,15.0,litro(s),900.0
2024-12-19,Cochabamba,aceite de girasol,8,15.0,litro(s),900.0
2024-12-21,Cochabamba,aceite de girasol,8,15.0,litro(s),900.0
2024-12-24,Cochabamba,aceite de girasol,8,15.33,litro(s),900.0
2024-12-26,Cochabamba,aceite de girasol,8,15.22,litro(s),900.0
2024-12-28,Cochabamba,aceite de girasol,8,15.33,litro(s),900.0
2024-12-31,Cochabamba,aceite de girasol,8,15.33,litro(s),900.0
2025-01-02,Cochabamba,aceite de girasol,8,14.67,litro(s),900.0
2025-01-04,Cochabamba,aceite de girasol,8,14.83,litro(s),900.0
2025-01-07,Cochabamba,aceite de girasol,8,14.89,litro(s),900.0
2025-01-09,Cochabamba,aceite de girasol,8,14.67,litro(s),900.0
2025-01-11,Cochabamba,aceite de girasol,8,14.83,litro(s),900.0
2025-01-14,Cochabamba,aceite de girasol,8,14.89,litro(s),900.0
2025-01-16,Cochabamba,aceite de girasol,8,14.78,litro(s),900.0
2025-01-18,Cochabamba,aceite de girasol,8,15.17,litro(s),900.0
2025-01-21,Cochabamba,aceite de girasol,8,15.11,litro(s),900.0
2025-01-23,Cochabamba,aceite de girasol,8,15.44,litro(s),900.0
2025-01-25,Cochabamba,aceite de girasol,8,14.67,litro(s),900.0
2025-01-28,Cochabamba,aceite de girasol,8,15.44,litro(s),900.0
2025-01-30,Cochabamba,aceite de girasol,8,15.33,litro(s),900.0
2025-02-01,Cochabamba,aceite de girasol,8,15.5,litro(s),900.0
2025-02-04,Cochabamba,aceite de girasol,8,15.67,litro(s),900.0
2025-02-06,Cochabamba,aceite de girasol,8,15.89,litro(s),900.0
2025-02-08,Cochabamba,aceite de girasol,8,16.33,litro(s),900.0
2025-02-11,Cochabamba,aceite de girasol,8,16.22,litro(s),900.0
2025-02-13,Cochabamba,aceite de girasol,8,16.22,litro(s),900.0
2025-02-15,Cochabamba,aceite de girasol,8,16.22,litro(s),900.0
2025-02-18,Cochabamba,aceite de girasol,8,16.11,litro(s),900.0
2025-02-20,Cochabamba,aceite de girasol,8,16.22,litro(s),900.0
2025-02-22,Cochabamba,aceite de girasol,8,15.67,litro(s),900.0
