fecha,codigo,producto,indice
2018-01-01,01110101,Pan corriente,100.35203994073782
2018-02-01,01110101,Pan corriente,100.32009600492941
2018-03-01,01110101,Pan corriente,100.32007914050463
2018-04-01,01110101,Pan corriente,100.3212998419796
2018-05-01,01110101,Pan corriente,100.32125348675012
2018-06-01,01110101,Pan corriente,100.32125408038613
2018-07-01,01110101,Pan corriente,100.32125406489997
2018-08-01,01110101,Pan corriente,100.32125406489997
2018-09-01,01110101,Pan corriente,100.32125406489997
2018-10-01,01110101,Pan corriente,100.32125406489997
2018-11-01,01110101,Pan corriente,100.32125406489997
2018-12-01,01110101,Pan corriente,100.32125406489997
2019-01-01,01110101,Pan corriente,100.37426460965186
2019-02-01,01110101,Pan corriente,100.42736387975835
2019-03-01,01110101,Pan corriente,100.42736387975835
2019-04-01,01110101,Pan corriente,100.42736387975835
2019-05-01,01110101,Pan corriente,100.44596842205662
2019-06-01,01110101,Pan corriente,100.44596842205662
2019-07-01,01110101,Pan corriente,100.44596842205662
2019-08-01,01110101,Pan corriente,100.44596842205662
2019-09-01,01110101,Pan corriente,100.44596842205662
2019-10-01,01110101,Pan corriente,100.44596842205662
2019-11-01,01110101,Pan corriente,100.44596842205662
2019-12-01,01110101,Pan corriente,100.44596842205662
2020-01-01,01110101,Pan corriente,100.44596842205662
2020-02-01,01110101,Pan corriente,100.44596842205662
2020-03-01,01110101,Pan corriente,100.44596842205662
2020-04-01,01110101,Pan corriente,100.44596842205662
2020-05-01,01110101,Pan corriente,100.44596842205662
2020-06-01,01110101,Pan corriente,100.44596842205662
2020-07-01,01110101,Pan corriente,100.44596842205662
2020-08-01,01110101,Pan corriente,100.44596842205662
2020-09-01,01110101,Pan corriente,100.44596842205662
2020-10-01,01110101,Pan corriente,100.44596842205662
2020-11-01,01110101,Pan corriente,100.44596842205662
2020-12-01,01110101,Pan corriente,100.44596842205662
2021-01-01,01110101,Pan corriente,100.44596842205662
2021-02-01,01110101,Pan corriente,100.44596842205662
2021-03-01,01110101,Pan corriente,100.44596842205662
2021-04-01,01110101,Pan corriente,100.44596842205662
2021-05-01,01110101,Pan corriente,100.44596842205662
2021-06-01,01110101,Pan corriente,100.44596842205662
2021-07-01,01110101,Pan corriente,100.44596842205662
2021-08-01,01110101,Pan corriente,100.44596842205662
2021-09-01,01110101,Pan corriente,100.44596842205662
2021-10-01,01110101,Pan corriente,100.44596842205662
2021-11-01,01110101,Pan corriente,100.44596842205662
2021-12-01,01110101,Pan corriente,100.44596842205662
2022-01-01,01110101,Pan corriente,100.44596842205662
2022-02-01,01110101,Pan corriente,100.44596842205662
2022-03-01,01110101,Pan corriente,100.44596842205662
2022-04-01,01110101,Pan corriente,100.44596842205662
2022-05-01,01110101,Pan corriente,100.44596842205662
2022-06-01,01110101,Pan corriente,100.44596842205662
2022-07-01,01110101,Pan corriente,100.44596842205662
2022-08-01,01110101,Pan corriente,100.44596842205662
2022-09-01,01110101,Pan corriente,100.44596842205662
2022-10-01,01110101,Pan corriente,100.44596842205662
2022-11-01,01110101,Pan corriente,100.44596840657046
2022-12-01,01110101,Pan corriente,100.44596842205662
2023-01-01,01110101,Pan corriente,100.44596842205662
2023-02-01,01110101,Pan corriente,100.70746741351672
2023-03-01,01110101,Pan corriente,100.85607470131914
2023-04-01,01110101,Pan corriente,100.85607470131914
2023-05-01,01110101,Pan corriente,100.85607470131914
2023-06-01,01110101,Pan corriente,100.85607470131914
2023-07-01,01110101,Pan corriente,100.85607470131914
2023-08-01,01110101,Pan corriente,100.85607470131914
2023-09-01,01110101,Pan corriente,100.85607470131914
2023-10-01,01110101,Pan corriente,100.85607470131914
2023-11-01,01110101,Pan corriente,100.85607470131914
2023-12-01,01110101,Pan corriente,100.85607470131914
2024-01-01,01110101,Pan corriente,100.85607470131914
2024-02-01,01110101,Pan corriente,100.85607470131914
2024-03-01,01110101,Pan corriente,100.85607470131914
2024-04-01,01110101,Pan corriente,100.85607470131914
2024-05-01,01110101,Pan corriente,100.85607470131914
2024-06-01,01110101,Pan corriente,100.85607470131914
2024-07-01,01110101,Pan corriente,100.85607470131914
2024-08-01,01110101,Pan corriente,100.87833260352576
2024-09-01,01110101,Pan corriente,100.87833260352576
2024-10-01,01110101,Pan corriente,100.87833260352576
2024-11-01,01110101,Pan corriente,100.87136630040874
2024-12-01,01110101,Pan corriente,100.93778995793936
2025-01-01,01110101,Pan corriente,100.94968573707092
2025-02-01,01110101,Pan corriente,101.41862607874452
2025-03-01,01110101,Pan corriente,101.41862607874452
2025-04-01,01110101,Pan corriente,102.01368598112232
2025-05-01,01110101,Pan corriente,106.12489671811164
2025-06-01,01110101,Pan corriente,108.0532545761825
2025-07-01,01110101,Pan corriente,108.7608011779202
2025-08-01,01110101,Pan corriente,108.84599060412793
2025-09-01,01110101,Pan corriente,108.7275679834205
2025-10-01,01110101,Pan corriente,108.71273020099504
2025-11-01,01110101,Pan corriente,109.83619296151232
2025-12-01,01110101,Pan corriente,132.06203391435574
2018-01-01,01110102,Pan especial,104.46780303293927
2018-02-01,01110102,Pan especial,104.6370827176182
2018-03-01,01110102,Pan especial,104.87130612138648
2018-04-01,01110102,Pan especial,104.87605557597959
2018-05-01,01110102,Pan especial,104.98860909437448
2018-06-01,01110102,Pan especial,105.06414084783786
2018-07-01,01110102,Pan especial,105.08053080792077
2018-08-01,01110102,Pan especial,105.12559897375627
2018-09-01,01110102,Pan especial,105.22246087961662
2018-10-01,01110102,Pan especial,105.34295066601666
2018-11-01,01110102,Pan especial,105.34295066601666
2018-12-01,01110102,Pan especial,105.35484036799203
2019-01-01,01110102,Pan especial,106.45667722218926
2019-02-01,01110102,Pan especial,106.5098731191516
2019-03-01,01110102,Pan especial,106.54604283692154
2019-04-01,01110102,Pan especial,106.57345910143042
2019-05-01,01110102,Pan especial,106.5834139889804
2019-06-01,01110102,Pan especial,106.5834139889804
2019-07-01,01110102,Pan especial,106.69408590322689
2019-08-01,01110102,Pan especial,106.76394493765235
2019-09-01,01110102,Pan especial,106.78105044154795
2019-10-01,01110102,Pan especial,106.78105044154795
2019-11-01,01110102,Pan especial,106.86857315439424
2019-12-01,01110102,Pan especial,106.88965709724982
2020-01-01,01110102,Pan especial,106.99882632255198
2020-02-01,01110102,Pan especial,107.20725242822546
2020-03-01,01110102,Pan especial,107.24031935105596
2020-04-01,01110102,Pan especial,107.35751982918809
2020-05-01,01110102,Pan especial,107.35847121357878
2020-06-01,01110102,Pan especial,107.42827170389842
2020-07-01,01110102,Pan especial,107.41964758532012
2020-08-01,01110102,Pan especial,107.55438419935675
2020-09-01,01110102,Pan especial,107.5245313564716
2020-10-01,01110102,Pan especial,107.47327803998945
2020-11-01,01110102,Pan especial,107.48672931638006
2020-12-01,01110102,Pan especial,107.50330250415286
2021-01-01,01110102,Pan especial,107.51395834215968
2021-02-01,01110102,Pan especial,107.56521165864181
2021-03-01,01110102,Pan especial,107.46276211898194
2021-04-01,01110102,Pan especial,107.44984204927775
2021-05-01,01110102,Pan especial,107.52806841042361
2021-06-01,01110102,Pan especial,107.52806841042361
2021-07-01,01110102,Pan especial,107.52806841042361
2021-08-01,01110102,Pan especial,107.47778239447759
2021-09-01,01110102,Pan especial,107.57402826443693
2021-10-01,01110102,Pan especial,107.59644007466132
2021-11-01,01110102,Pan especial,107.63780080271485
2021-12-01,01110102,Pan especial,107.63638725271885
2022-01-01,01110102,Pan especial,107.64824187943545
2022-02-01,01110102,Pan especial,107.59687036530521
2022-03-01,01110102,Pan especial,107.75796586561235
2022-04-01,01110102,Pan especial,108.0148664055891
2022-05-01,01110102,Pan especial,108.0300174238984
2022-06-01,01110102,Pan especial,108.0813111921388
2022-07-01,01110102,Pan especial,108.46357817425998
2022-08-01,01110102,Pan especial,108.89925325439187
2022-09-01,01110102,Pan especial,109.22259013213336
2022-10-01,01110102,Pan especial,109.33330019392406
2022-11-01,01110102,Pan especial,109.53999894978053
2022-12-01,01110102,Pan especial,109.50310997585298
